Departamento;Municipio;EstadoVictima;AnoHecho;MesOCurrencia;DiaOcurrencia;TipoVehiculoGrupo;TipoServicio;CondicionVictima;ActorVial;UsuarioVia;Zona;ObjetoColision;EsCapital;Rango3horas;Rango6horas;Sexo;RangoEdad;EstadoVia;ActividadVictima;CausaMuerte;ClaseAccidente;CondicionLugar;Hipotesis;DiagnosticoTopografico;Muerte30Dias;TipoRegistro;TotalRegistros
SUCRE;SINCELEJO;MUERTOS;2025;03.MARZO;1.LUNES;NO APLICA;NO APLICA;PEATÓN;PEATÓN;PEATÓN;URBANA;MOTOCICLETA;SI;00:00 A 02:59;00:00 A 05:59;HOMBRE;[30,35);BUENO;ACTIVIDADES RELACIONADAS CON LA ASISTENCIA A EVENTOS CULTURALES, DE ENTRETENIMIENTO Y/O DEPORTIVOS;CONTUNDENTE;ATROPELLO;NORMAL;CRUZAR EN ESTADO DE EMBRIAGUEZ;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
ANTIOQUIA;SABANETA;MUERTOS;2022;02.FEBRERO;1.LUNES;MOTOCICLETA;SIN INFORMACIÓN;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;RURAL;TRANSPORTE DE CARGA;NO;18:00 A 20:59;18:00 A 23:59;HOMBRE;[55,60);SIN INFORMACIÓN;SIN INFORMACIÓN;CONTUNDENTE;CHOQUE;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;TRAUMA CRANEANO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
SANTANDER;GIRON;MUERTOS;2024;03.MARZO;7.DOMINGO;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;URBANA;OBJETO FIJO;NO;-1;-1;HOMBRE;[35,40);BUENO;SIN INFORMACIÓN;CONTUNDENTE;CHOQUE;LLUVIA;SIN INFORMACIÓN;TRAUMA CRANEANO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
ANTIOQUIA;CAUCASIA;MUERTOS;2025;02.FEBRERO;1.LUNES;NO APLICA;NO APLICA;PEATÓN;PEATÓN;PEATÓN;RURAL;SIN INFO.;NO;-1;-1;HOMBRE;[15,20);SIN INFORMACIÓN;ACTIVIDADES RELACIONADAS CON LA ASISTENCIA A EVENTOS CULTURALES, DE ENTRETENIMIENTO Y/O DEPORTIVOS;CONTUNDENTE;ATROPELLO;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
CHOCO;CERTEGUI;MUERTOS;2024;03.MARZO;7.DOMINGO;MOTOCICLETA;PARTICULAR;PASAJERO;USUARIO DE MOTO;USUARIO DE MOTO;RURAL;NO APLICA;NO;-1;-1;MUJER;[15,20);SIN INFORMACIÓN;ACTIVIDADES RELACIONADAS CON LA ASISTENCIA A EVENTOS CULTURALES, DE ENTRETENIMIENTO Y/O DEPORTIVOS;CONTUNDENTE;CAÍDA DEL OCUPANTE;NS / NR Ó SIN INFORMACIÓN;EXCESO DE VELOCIDAD;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
TOLIMA;AMBALEMA;MUERTOS;2025;02.FEBRERO;7.DOMINGO;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;URBANA;SIN INFO.;NO;03:00 A 05:59;00:00 A 05:59;HOMBRE;[55,60);SIN INFORMACIÓN;SIN INFORMACIÓN;CONTUNDENTE;SIN INFORMACIÓN;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
ANTIOQUIA;SAN CARLOS;MUERTOS;2021;02.FEBRERO;1.LUNES;TRANSPORTE INDIVIDUAL;PARTICULAR;CONDUCTOR;USUARIO DE VEHÍCULO;USUARIO DE V.INDIVIDUAL;RURAL;NO APLICA;NO;-1;-1;HOMBRE;[30,35);SIN INFORMACIÓN;ACTIVIDADES RELACIONADAS CON LA ASISTENCIA A EVENTOS CULTURALES, DE ENTRETENIMIENTO Y/O DEPORTIVOS;CONTUNDENTE;VOLCAMIENTO;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;TRAUMA DE ABDOMEN;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
VALLE DEL CAUCA;CANDELARIA;MUERTOS;2022;03.MARZO;5.VIERNES;NO APLICA;NO APLICA;PEATÓN;PEATÓN;PEATÓN;URBANA;SIN INFO.;NO;-1;-1;HOMBRE;[30,35);SIN INFORMACIÓN;SIN INFORMACIÓN;CONTUNDENTE;ATROPELLO;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;TRAUMA DE MIEMBROS;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
ATLANTICO;BARRANQUILLA;MUERTOS;2021;01.ENERO;4.JUEVES;TRANSPORTE INDIVIDUAL;SIN INFORMACIÓN;PASAJERO;USUARIO DE VEHÍCULO;USUARIO DE V.INDIVIDUAL;URBANA;TRANSPORTE INDIVIDUAL;SI;12:00 A 14:59;12:00 A 17:59;HOMBRE;[70,75);SIN INFORMACIÓN;ACTIVIDADES RELACIONADAS CON LA ASISTENCIA A EVENTOS CULTURALES, DE ENTRETENIMIENTO Y/O DEPORTIVOS;CONTUNDENTE;CHOQUE;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;TRAUMA DE TÓRAX;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
PUTUMAYO;MOCOA;MUERTOS;2024;01.ENERO;4.JUEVES;TRANSPORTE INDIVIDUAL;PARTICULAR;CONDUCTOR;USUARIO DE VEHÍCULO;USUARIO DE V.INDIVIDUAL;RURAL;NO APLICA;SI;-1;-1;HOMBRE;[45,50);SIN INFORMACIÓN;ACTIVIDADES DE DESPLAZAMIENTO DE UN LUGAR A OTRO;CONTUNDENTE;VOLCAMIENTO;NS / NR Ó SIN INFORMACIÓN;MALAS CONDICIONES DE LA VÍA;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
GUAVIARE;SAN JOSE DEL GUAVIARE;MUERTOS;2023;01.ENERO;2.MARTES;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;URBANA;OBJETO FIJO;SI;-1;-1;HOMBRE;[30,35);BUENO;SIN INFORMACIÓN;CONTUNDENTE;CHOQUE;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;TRAUMA DE TÓRAX;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
META;BARRANCA UPIA;MUERTOS;2021;01.ENERO;5.VIERNES;MOTOCICLETA;SIN INFORMACIÓN;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;RURAL;SIN INFO.;NO;-1;-1;HOMBRE;[35,40);SIN INFORMACIÓN;ACTIVIDADES DE DESPLAZAMIENTO DE UN LUGAR A OTRO;CORTOCONTUNDENTE;SIN INFORMACIÓN;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
ANTIOQUIA;CACERES;MUERTOS;2024;03.MARZO;3.MIÉRCOLES;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;URBANA;TRANSPORTE DE CARGA;NO;18:00 A 20:59;18:00 A 23:59;HOMBRE;[25,30);SIN INFORMACIÓN;SIN INFORMACIÓN;CONTUNDENTE;CHOQUE;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
ANTIOQUIA;BELLO;MUERTOS;2024;03.MARZO;7.DOMINGO;MOTOCICLETA;PARTICULAR;PASAJERO;USUARIO DE MOTO;USUARIO DE MOTO;RURAL;OBJETO FIJO;NO;-1;-1;MUJER;[10,15);SIN INFORMACIÓN;SIN INFORMACIÓN;CONTUNDENTE;CHOQUE;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;TRAUMA CRANEANO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
VALLE DEL CAUCA;LA UNION;MUERTOS;2024;01.ENERO;7.DOMINGO;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;RURAL;OBJETO FIJO;NO;-1;-1;HOMBRE;[35,40);BUENO;SIN INFORMACIÓN;CONTUNDENTE;CHOQUE;NORMAL;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
TOLIMA;ROVIRA;MUERTOS;2026;03.MARZO;7.DOMINGO;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;URBANA;TRANSPORTE INDIVIDUAL;NO;03:00 A 05:59;00:00 A 05:59;HOMBRE;[25,30);BUENO;SIN INFORMACIÓN;CONTUNDENTE;CHOQUE;NORMAL;SIN INFORMACIÓN;TRAUMA CRANEANO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
CORDOBA;PUERTO LIBERTADOR;MUERTOS;2024;02.FEBRERO;7.DOMINGO;MOTOCICLETA;PARTICULAR;PASAJERO;USUARIO DE MOTO;USUARIO DE MOTO;RURAL;OBJETO FIJO;NO;00:00 A 02:59;00:00 A 05:59;MUJER;[25,30);BUENO;SIN INFORMACIÓN;CONTUNDENTE;CHOQUE;NORMAL;SIN INFORMACIÓN;TRAUMA CRANEANO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
META;PUERTO LOPEZ;MUERTOS;2022;01.ENERO;2.MARTES;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;RURAL;TRANSPORTE DE CARGA;NO;03:00 A 05:59;00:00 A 05:59;HOMBRE;[20,25);BUENO;ACTIVIDADES DE DESPLAZAMIENTO DE UN LUGAR A OTRO;CONTUNDENTE;CHOQUE;NORMAL;EXCESO DE VELOCIDAD;TRAUMA CRANEANO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
BOGOTA DC;BOGOTA;MUERTOS;2022;01.ENERO;6.SÁBADO;BICICLETA;NO APLICA;CONDUCTOR;USUARIO DE BICICLETA;USUARIO DE BICICLETA;URBANA;TRANSPORTE INDIVIDUAL;SI;21:00 A 23:59;18:00 A 23:59;HOMBRE;[15,20);SIN INFORMACIÓN;ACTIVIDADES RELACIONADAS CON LA ASISTENCIA A EVENTOS CULTURALES, DE ENTRETENIMIENTO Y/O DEPORTIVOS;CONTUNDENTE;CHOQUE;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
CESAR;VALLEDUPAR;MUERTOS;2025;03.MARZO;7.DOMINGO;MOTOCICLETA;PARTICULAR;PASAJERO;USUARIO DE MOTO;USUARIO DE MOTO;RURAL;OBJETO FIJO;SI;-1;-1;HOMBRE;[40,45);SIN INFORMACIÓN;SIN INFORMACIÓN;CONTUNDENTE;CHOQUE;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;TRAUMA CRANEANO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
CUNDINAMARCA;COTA;MUERTOS;2022;01.ENERO;2.MARTES;NO APLICA;NO APLICA;PEATÓN;PEATÓN;PEATÓN;RURAL;TRANSPORTE DE CARGA;NO;18:00 A 20:59;18:00 A 23:59;MUJER;[00,05);BUENO;SIN INFORMACIÓN;CONTUNDENTE;ATROPELLO;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;TRAUMA CRANEANO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
CAUCA;PIENDAMO;MUERTOS;2026;03.MARZO;4.JUEVES;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;RURAL;TRANSPORTE DE CARGA;NO;-1;-1;HOMBRE;[25,30);SIN INFORMACIÓN;SIN INFORMACIÓN;CONTUNDENTE;CHOQUE;SIN INFORMACIÓN;SIN INFORMACIÓN;TRAUMA CRANEANO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
HUILA;GIGANTE;MUERTOS;2025;03.MARZO;5.VIERNES;NO APLICA;NO APLICA;PEATÓN;PEATÓN;PEATÓN;RURAL;TRANSPORTE INDIVIDUAL;NO;-1;-1;MUJER;[45,50);BUENO;SIN INFORMACIÓN;CONTUNDENTE;ATROPELLO;NORMAL;SIN INFORMACIÓN;TRAUMA CRANEANO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
VALLE DEL CAUCA;CALI;MUERTOS;2021;03.MARZO;6.SÁBADO;MOTOCICLETA;PARTICULAR;PASAJERO;USUARIO DE MOTO;USUARIO DE MOTO;URBANA;MOTOCICLETA;SI;-1;-1;HOMBRE;[25,30);BUENO;OTRA;CONTUNDENTE;CHOQUE;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;TRAUMA CRANEANO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
BOGOTA DC;BOGOTA;MUERTOS;2022;01.ENERO;5.VIERNES;MOTOCICLETA;PARTICULAR;PASAJERO;USUARIO DE MOTO;USUARIO DE MOTO;URBANA;NO APLICA;SI;12:00 A 14:59;12:00 A 17:59;MUJER;[25,30);CON HUECOS;SIN INFORMACIÓN;CONTUNDENTE;CAÍDA DEL OCUPANTE;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;TRAUMA CRANEANO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
ANTIOQUIA;MEDELLIN;MUERTOS;2022;03.MARZO;1.LUNES;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;URBANA;NO APLICA;SI;21:00 A 23:59;18:00 A 23:59;HOMBRE;[30,35);SIN INFORMACIÓN;SIN INFORMACIÓN;CONTUNDENTE;VOLCAMIENTO;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
BOLIVAR;CARTAGENA;MUERTOS;2023;01.ENERO;7.DOMINGO;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;URBANA;NO APLICA;SI;-1;-1;HOMBRE;[35,40);SIN INFORMACIÓN;SIN INFORMACIÓN;CONTUNDENTE;VOLCAMIENTO;NS / NR Ó SIN INFORMACIÓN;DESOBEDECER SEÑALES DE TRÁNSITO;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
META;VILLAVICENCIO;MUERTOS;2025;03.MARZO;4.JUEVES;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;URBANA;TRANSPORTE INDIVIDUAL;SI;-1;-1;HOMBRE;[75,80);SIN INFORMACIÓN;SIN INFORMACIÓN;CONTUNDENTE;CHOQUE;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
BOLIVAR;SIMITI;MUERTOS;2024;02.FEBRERO;5.VIERNES;TRANSPORTE INDIVIDUAL;PARTICULAR;PASAJERO;USUARIO DE VEHÍCULO;USUARIO DE V.INDIVIDUAL;RURAL;NO APLICA;NO;18:00 A 20:59;18:00 A 23:59;HOMBRE;[45,50);SIN INFORMACIÓN;ACTIVIDADES DE DESPLAZAMIENTO DE UN LUGAR A OTRO;GENERADORES DE ASFIXIA;VOLCAMIENTO;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;TRAUMA DE TÓRAX;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
VALLE DEL CAUCA;PALMIRA;MUERTOS;2021;02.FEBRERO;1.LUNES;TRANSPORTE INDIVIDUAL;PARTICULAR;PASAJERO;USUARIO DE VEHÍCULO;USUARIO DE V.INDIVIDUAL;RURAL;OBJETO FIJO;NO;-1;-1;MUJER;[15,20);BUENO;ACTIVIDADES RELACIONADAS CON EL ESTUDIO Y EL APRENDIZAJE;CONTUNDENTE;CHOQUE;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;TRAUMA DE TÓRAX;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
CAUCA;CALOTO;MUERTOS;2023;03.MARZO;2.MARTES;TRANSPORTE INDIVIDUAL;PARTICULAR;CONDUCTOR;USUARIO DE VEHÍCULO;USUARIO DE V.INDIVIDUAL;RURAL;NO APLICA;NO;-1;-1;HOMBRE;[35,40);BUENO;ACTIVIDADES RELACIONADAS CON LA ASISTENCIA A EVENTOS CULTURALES, DE ENTRETENIMIENTO Y/O DEPORTIVOS;CONTUNDENTE;CAÍDA DEL VEHÍCULO A UN PRECIPICIO;NORMAL;EXCESO DE VELOCIDAD;TRAUMA CRANEANO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
CAUCA;SANTANDER QUILICHAO;MUERTOS;2026;01.ENERO;1.LUNES;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;URBANA;MOTOCICLETA;NO;18:00 A 20:59;18:00 A 23:59;HOMBRE;[45,50);SIN INFORMACIÓN;SIN INFORMACIÓN;CONTUNDENTE;CHOQUE;SIN INFORMACIÓN;SIN INFORMACIÓN;TRAUMA CRANEANO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
NARINO;IPIALES;MUERTOS;2024;02.FEBRERO;1.LUNES;NO APLICA;NO APLICA;PEATÓN;PEATÓN;PEATÓN;URBANA;TRANSPORTE DE PASAJEROS;NO;-1;-1;MUJER;[05,10);BUENO;ACTIVIDADES RELACIONADAS CON EL ESTUDIO Y EL APRENDIZAJE;CONTUNDENTE;ATROPELLO;NORMAL;CRUZAR SIN OBSERVAR;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
BOGOTA DC;BOGOTA;MUERTOS;2021;03.MARZO;6.SÁBADO;NO APLICA;NO APLICA;PEATÓN;PEATÓN;PEATÓN;URBANA;MOTOCICLETA;SI;18:00 A 20:59;18:00 A 23:59;HOMBRE;[50,55);SIN INFORMACIÓN;ACTIVIDADES DE DESPLAZAMIENTO DE UN LUGAR A OTRO;CONTUNDENTE;ATROPELLO;NS / NR Ó SIN INFORMACIÓN;EXCESO DE VELOCIDAD;TRAUMA CRANEANO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
CUNDINAMARCA;TIBACUY;MUERTOS;2025;02.FEBRERO;7.DOMINGO;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;URBANA;OBJETO FIJO;NO;-1;-1;HOMBRE;[30,35);SIN INFORMACIÓN;SIN INFORMACIÓN;CONTUNDENTE;CHOQUE;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
PUTUMAYO;ORITO;MUERTOS;2025;01.ENERO;6.SÁBADO;MOTOCICLETA;PARTICULAR;PASAJERO;USUARIO DE MOTO;USUARIO DE MOTO;RURAL;NO APLICA;NO;-1;-1;HOMBRE;[35,40);BUENO;ACTIVIDADES DE DESPLAZAMIENTO DE UN LUGAR A OTRO;CONTUNDENTE;CAÍDA DEL OCUPANTE;NORMAL;EXCESO DE VELOCIDAD;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
CUNDINAMARCA;COGUA;MUERTOS;2023;02.FEBRERO;7.DOMINGO;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;RURAL;TRANSPORTE INDIVIDUAL;NO;-1;-1;HOMBRE;[25,30);SIN INFORMACIÓN;SIN INFORMACIÓN;CONTUNDENTE;CHOQUE;NORMAL;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
ANTIOQUIA;MEDELLIN;MUERTOS;2023;02.FEBRERO;1.LUNES;BICICLETA;NO APLICA;CONDUCTOR;USUARIO DE BICICLETA;USUARIO DE BICICLETA;URBANA;TRANSPORTE DE CARGA;SI;12:00 A 14:59;12:00 A 17:59;MUJER;[30,35);SIN INFORMACIÓN;SIN INFORMACIÓN;CONTUNDENTE;CHOQUE;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
BOGOTA DC;BOGOTA;MUERTOS;2022;03.MARZO;7.DOMINGO;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;URBANA;OBJETO FIJO;SI;-1;-1;HOMBRE;[20,25);SIN INFORMACIÓN;SIN INFORMACIÓN;CONTUNDENTE;CHOQUE;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;TRAUMA CRANEANO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
BOYACA;CUITIVA;MUERTOS;2023;02.FEBRERO;6.SÁBADO;NO APLICA;NO APLICA;PEATÓN;PEATÓN;PEATÓN;RURAL;TRANSPORTE DE CARGA;NO;12:00 A 14:59;12:00 A 17:59;HOMBRE;[40,45);CON HUECOS;ACTIVIDADES RELACIONADAS CON LOS DEPORTES Y EL EJERCICIO FÍSICO;CONTUNDENTE;ATROPELLO;NORMAL;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
ATLANTICO;BARRANQUILLA;MUERTOS;2022;02.FEBRERO;7.DOMINGO;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;URBANA;MOTOCICLETA;SI;00:00 A 02:59;00:00 A 05:59;HOMBRE;[35,40);SIN INFORMACIÓN;ACTIVIDADES RELACIONADAS CON LA ASISTENCIA A EVENTOS CULTURALES, DE ENTRETENIMIENTO Y/O DEPORTIVOS;CONTUNDENTE;CHOQUE;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
TOLIMA;MARIQUITA;MUERTOS;2025;03.MARZO;4.JUEVES;TRANSPORTE INDIVIDUAL;PÚBLICO;PASAJERO;USUARIO DE VEHÍCULO;USUARIO DE V.INDIVIDUAL;URBANA;SIN INFO.;NO;-1;-1;MUJER;[80,85);SIN INFORMACIÓN;ACTIVIDADES RELACIONADAS CON EL TRABAJO REMUNERADO;CONTUNDENTE;SIN INFORMACIÓN;NS / NR Ó SIN INFORMACIÓN;DESOBEDECER SEÑALES DE TRÁNSITO;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
CORDOBA;SAN ANTERO;MUERTOS;2026;03.MARZO;7.DOMINGO;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;URBANA;MOTOCICLETA;NO;-1;-1;HOMBRE;[50,55);SIN INFORMACIÓN;SIN INFORMACIÓN;CONTUNDENTE;CHOQUE;SIN INFORMACIÓN;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
VALLE DEL CAUCA;CAICEDONIA;MUERTOS;2025;01.ENERO;7.DOMINGO;BICICLETA;NO APLICA;CONDUCTOR;USUARIO DE BICICLETA;USUARIO DE BICICLETA;SIN INFORMACIÓN;NO APLICA;NO;-1;-1;HOMBRE;[35,40);SIN INFORMACIÓN;SIN INFORMACIÓN;CONTUNDENTE;VOLCAMIENTO;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;TRAUMA CRANEANO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
ANTIOQUIA;CALDAS;MUERTOS;2022;01.ENERO;3.MIÉRCOLES;NO APLICA;NO APLICA;PEATÓN;PEATÓN;PEATÓN;URBANA;TRANSPORTE INDIVIDUAL;NO;-1;-1;HOMBRE;[50,55);SIN INFORMACIÓN;ACTIVIDADES VITALES O RELACIONADAS CON EL CUIDADO PERSONAL;CONTUNDENTE;ATROPELLO;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;TRAUMA CRANEANO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
CASANARE;MONTERREY;MUERTOS;2026;03.MARZO;4.JUEVES;NO APLICA;NO APLICA;PEATÓN;PEATÓN;PEATÓN;RURAL;TRANSPORTE DE CARGA;NO;-1;-1;HOMBRE;[70,75);BUENO;SIN INFORMACIÓN;CONTUNDENTE;ATROPELLO;SIN INFORMACIÓN;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
ANTIOQUIA;GIRALDO;MUERTOS;2023;03.MARZO;4.JUEVES;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;URBANA;TRANSPORTE INDIVIDUAL;NO;-1;-1;HOMBRE;[30,35);SIN INFORMACIÓN;SIN INFORMACIÓN;CONTUNDENTE;CHOQUE;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;TRAUMA DE ABDOMEN;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
CORDOBA;MONTERIA;MUERTOS;2025;03.MARZO;4.JUEVES;TRANSPORTE DE CARGA;PÚBLICO;CONDUCTOR;USUARIO DE VEHÍCULO;USUARIO T.CARGA;RURAL;TRANSPORTE DE CARGA;SI;12:00 A 14:59;12:00 A 17:59;HOMBRE;[70,75);SIN INFORMACIÓN;SIN INFORMACIÓN;CONTUNDENTE;CHOQUE;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
CORDOBA;SAN ANTERO;MUERTOS;2026;02.FEBRERO;4.JUEVES;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;URBANA;MOTOCICLETA;NO;-1;-1;HOMBRE;[60,65);SIN INFORMACIÓN;SIN INFORMACIÓN;CONTUNDENTE;CHOQUE;SIN INFORMACIÓN;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
